	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
14	prerank	GO_Biological_Process_2021__cellular response to peptide hormone stimulus (GO:0071375)	-0.7234042553191489	-1.2292140386643116	0.22448979591836735	0.3904418394950406	0.84	3/3	34.00%	XBP1;IRS2;HDAC5
15	prerank	GO_Biological_Process_2021__cellular response to insulin stimulus (GO:0032869)	-0.7234042553191489	-1.2292140386643116	0.22448979591836735	0.3904418394950406	0.84	3/3	34.00%	XBP1;IRS2;HDAC5
16	prerank	GO_Biological_Process_2021__regulation of apoptotic process (GO:0042981)	-0.6406445454749269	-1.2129122175304976	0.2786885245901639	0.4022701957248183	0.85	4/5	32.00%	HSPA5;MCF2L;XBP1;CALR
17	prerank	GO_Biological_Process_2021__regulation of immune response (GO:0050776)	0.694244756502527	1.1945204820684188	0.2765957446808511	1.0	0.84	1/3	2.00%	TREML1
18	prerank	GO_Biological_Process_2021__positive regulation of nucleic acid-templated transcription (GO:1903508)	-0.6715152697685057	-1.1674497096836485	0.25	0.47049393848311793	0.92	1/3	8.00%	NFYA
19	prerank	GO_Biological_Process_2021__transcription by RNA polymerase II (GO:0006366)	-0.7234042553191489	-1.1665081417726706	0.3333333333333333	0.44573109961558544	0.92	3/3	34.00%	NFYA;XBP1;HDAC5
20	prerank	GO_Biological_Process_2021__response to unfolded protein (GO:0006986)	-0.7258381676920319	-1.1607867510594025	0.2909090909090909	0.4328223624887285	0.92	2/3	14.00%	HSPA5;DNAJB5
21	prerank	GO_Biological_Process_2021__positive regulation of cellular biosynthetic process (GO:0031328)	0.6416912999490842	1.107883231069486	0.2978723404255319	1.0	0.86	2/3	12.00%	RBM3;CIRBP
22	prerank	GO_Biological_Process_2021__regulation of cell migration (GO:0030334)	-0.6678070616531837	-1.0714600812621118	0.40350877192982454	0.566104169350337	0.97	2/3	24.00%	HSPA5;XBP1
23	prerank	GO_Biological_Process_2021__regulation of translation (GO:0006417)	0.6523740918881848	1.0704340930044713	0.38235294117647056	0.7671422909235037	0.86	2/3	12.00%	RBM3;CIRBP
24	prerank	GO_Biological_Process_2021__negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	-0.5957446808510638	-1.0111284750377278	0.4576271186440678	0.5939284640817554	0.99	3/3	46.00%	CALR;HDAC5;NFIL3
25	prerank	GO_Biological_Process_2021__negative regulation of transcription by RNA polymerase II (GO:0000122)	-0.5957446808510638	-1.0111284750377278	0.4576271186440678	0.5939284640817554	0.99	3/3	46.00%	CALR;HDAC5;NFIL3
26	prerank	GO_Biological_Process_2021__negative regulation of nucleic acid-templated transcription (GO:1903507)	-0.5957446808510638	-1.0111284750377278	0.4576271186440678	0.5939284640817554	0.99	3/3	46.00%	CALR;HDAC5;NFIL3
27	prerank	GO_Biological_Process_2021__positive regulation of transcription, DNA-templated (GO:0045893)	-0.4830960715939755	-1.002935145971489	0.3684210526315789	0.5840216411181245	0.99	2/7	10.00%	NFYA;FOSL2
28	prerank	GO_Biological_Process_2021__ubiquitin-dependent protein catabolic process (GO:0006511)	-0.5821023031401623	-0.9629388229834632	0.5	0.6164944163140736	0.99	2/3	26.00%	XBP1;TRIM9
29	prerank	GO_Biological_Process_2021__regulation of nucleic acid-templated transcription (GO:1903506)	-0.5479105921873899	-0.955196972661013	0.484375	0.6016765187188993	0.99	1/4	8.00%	NFYA
30	prerank	GO_Biological_Process_2021__regulation of transcription by RNA polymerase II (GO:0006357)	-0.45572260413630694	-0.93391749303516	0.4745762711864407	0.6064665722014685	0.99	5/8	34.00%	NFYA;FOSL2;XBP1;CALR;HDAC5
31	prerank	GO_Biological_Process_2021__neutrophil mediated immunity (GO:0002446)	0.5106382978723403	0.9299181073891585	0.43243243243243246	0.5590566785572731	0.92	3/3	52.00%	RAP2B;SCAMP1;DOK3
32	prerank	GO_Biological_Process_2021__neutrophil activation involved in immune response (GO:0002283)	0.5106382978723403	0.9299181073891585	0.43243243243243246	0.5590566785572731	0.92	3/3	52.00%	RAP2B;SCAMP1;DOK3
33	prerank	GO_Biological_Process_2021__neutrophil degranulation (GO:0043312)	0.5106382978723403	0.9299181073891585	0.43243243243243246	0.5590566785572731	0.92	3/3	52.00%	RAP2B;SCAMP1;DOK3
34	prerank	GO_Biological_Process_2021__negative regulation of transcription, DNA-templated (GO:0045892)	-0.5217391304347826	-0.8793137795993629	0.5714285714285714	0.6656509436895619	1.0	4/4	54.00%	CALR;HDAC5;NFIL3;NAB2
35	prerank	GO_Biological_Process_2021__regulation of transcription, DNA-templated (GO:0006355)	-0.42929524497037236	-0.842444562367379	0.5625	0.7127141568981065	1.0	2/9	10.00%	NFYA;FOSL2
36	prerank	GO_Biological_Process_2021__regulation of cellular macromolecule biosynthetic process (GO:2000112)	-0.41585031528359595	-0.7525414683520365	0.7538461538461538	0.7925768637831234	1.0	1/5	8.00%	NFYA
37	prerank	GO_Biological_Process_2021__positive regulation of transcription by RNA polymerase II (GO:0045944)	-0.4019159539659362	-0.7046079372464072	0.7924528301886793	0.8155996393146979	1.0	3/4	34.00%	FOSL2;XBP1;HDAC5
38	prerank	GO_Biological_Process_2021__positive regulation of macromolecule biosynthetic process (GO:0010557)	0.392295000597116	0.6683519903298794	0.6938775510204082	0.7919143876337693	0.99	2/5	12.00%	RBM3;CIRBP
