Term	Methods Included	Methods Found Significant	enrichr Adjusted P-value	enrichr P-value	enrichr Combined Score	enrichr Genes	prerank FDR q-val	prerank NOM p-val	prerank NES	prerank Lead genes	wilcoxon FDR q-val	wilcoxon NOM p-val	wilcoxon NES	wilcoxon Lead genes
Increased Circulating Creatinine Level (MP:0005553)	1	0	0.3814828304613859	0.2839609038772722	3.857336278341556	NFYA								
Increased Vertical Activity (MP:0002574)	1	0	0.3848405759405591	0.289353816496661	3.714691124222948	NAB2								
Decreased Hematocrit (MP:0000208)	1	0	0.3852536749359692	0.2947069182263764	3.579678317757992	DNASE1L2								
Increased Blood Urea Nitrogen Level (MP:0005565)	1	0	0.3852536749359692	0.2982536777952956	3.493637560948428	DNASE1L2								
Increased Circulating HDL Cholesterol Level (MP:0001556)	1	0	0.3852536749359692	0.3017829564686885	3.410594866305226	HSPA5								
Abnormal Spleen Morphology (MP:0000689)	1	0	0.3852536749359692	0.3023292871863985	2.215243867404547	NFIL3;DNASE1L2								
Enlarged Kidney (MP:0003068)	1	0	0.3852536749359692	0.307044282279795	3.291346538126983	TRIM9								
Abnormal Thymus Morphology (MP:0000703)	1	0	0.3852536749359692	0.307044282279795	3.291346538126983	NFIL3								
Preweaning Lethality, Incomplete Penetrance (MP:0011110)	1	0	0.395709118740936	0.3239626113635874	1.7266628939354371	ZRANB1;NECAP1;DNASE1L2								
Decreased Hemoglobin Content (MP:0002874)	1	0	0.395709118740936	0.3243029619756543	2.934917292064671	DNASE1L2								
Decreased Lymphocyte Cell Number (MP:0005016)	1	0	0.395709118740936	0.3243029619756543	2.934917292064671	XBP1								
Short Tibia (MP:0002764)	1	0	0.3962236816522675	0.3277037968552589	2.8703970097526006	DNASE1L2								
Abnormal Gait (MP:0001406)	1	0	0.3967088721201706	0.3310878556792401	2.8079075381643523	NAB2								
Increased Circulating Cholesterol Level (MP:0005178)	1	0	0.4246096693614584	0.3575660373570176	2.3716975343886144	HSPA5								
Increased Leukocyte Cell Number (MP:0000218)	1	0	0.4246616018953004	0.3608027143922477	2.3241173885161555	NFYA								
Decreased Circulating Serum Albumin Level (MP:0005419)	1	0	0.4340066843908317	0.3720057294778557	2.1678716160963645	NFYA								
Increased Mean Corpuscular Hemoglobin (MP:0005561)	1	0	0.4393508589337614	0.3798898404314479	2.065236730473686	XBP1								
Increased Fasting Circulating Glucose Level (MP:0013279)	1	0	0.4768445929693081	0.4222806321196029	1.5998802666710514	DNASE1L2								
Decreased Thigmotaxis (MP:0020870)	1	0	0.4768445929693081	0.4237408440429794	1.5860841457604238	RAP2B								
Increased Mean Corpuscular Volume (MP:0002590)	1	0	0.4768445929693081	0.4237408440429794	1.5860841457604238	XBP1								
Increased Circulating Aspartate Transaminase Level (MP:0005343)	1	0	0.4768445929693081	0.4266504252883283	1.5589816483293069	DNASE1L2								
Increased Bone Mineral Content (MP:0010123)	1	0	0.4918871757005249	0.4438079780756616	1.4090587077635532	XBP1								
Decreased Total Body Fat Amount (MP:0010025)	1	0	0.519503421642715	0.4726309324719437	1.190750087334849	DNASE1L2								
Increased Startle Reflex (MP:0001488)	1	0	0.5492044113252591	0.5037814900878317	0.9937418248041268	MCF2L								
Enlarged Lymph Nodes (MP:0000702)	1	0	0.5555276272904545	0.5137586327573376	0.937839142501346	PDIA6								
Cataract (MP:0001304)	1	0	0.5679890674175402	0.5295537169907893	0.8555802368160503	XBP1								
Abnormal Auditory Brainstem Response (MP:0004738)	1	0	0.5760076436921047	0.5413605673797975	0.7986814877643065	MINAR2								
Decreased Exploration In New Environment (MP:0001417)	1	0	0.5835922611620397	0.5528768789956165	0.7466509270127912	NAB2								
Increased Grip Strength (MP:0010052)	1	0	0.5895973188131106	0.5629989435283087	0.7035494301411569	XBP1								
Enlarged Spleen (MP:0000691)	1	0	0.6205306524957819	0.5972024324771434	0.5741085586629435	NFIL3								
Abnormal Kidney Morphology (MP:0002135)	1	0	0.6353631191504973	0.6162544539128882	0.5115383719098227	TRIM9								
Enlarged Heart (MP:0000274)	1	0	0.6734745053282004	0.6605390288521731	0.3878789202967048	DNASE1L2								
Preweaning Lethality, Complete Penetrance (MP:0011100)	1	0	0.6734745053282004	0.6633470691578515	0.364113575424592	XBP1;SNAPIN;HSPA5;PDIA6								
Abnormal Heart Morphology (MP:0000266)	1	0	0.6948566595422054	0.689632173380234	0.3206008275262005	DNASE1L2								
Embryonic Lethality Prior To Organogenesis (MP:0013292)	1	0	0.7255921900557427	0.7255921900557427	0.2500314357907431	HSPA5								
Fused Joints MP:0003189	1	0	0.0798021775608101	0.0003320638832645	739.4956618223716	DNASE1L2;BMAL1								
Abnormal Colon Goblet Cell Morphology MP:0013795	1	0	0.0798021775608101	0.0004694245738871	578.8354329773197	ZRANB1;NFIL3								
Abnormal Locomotor Circadian Rhythm MP:0020477	1	0	0.0798021775608101	0.0004694245738871	578.8354329773197	DBP;BMAL1								
Decreased Transitional Stage B Cell Number MP:0008190	1	0	0.1641021966495743	0.0019157650058532	216.47517339281177	PDIA6;BMAL1								
Decreased IgG1 Level MP:0008495	1	0	0.1641021966495743	0.0019479426217578	82.3859356912581	XBP1;NFIL3;BMAL1								
Abnormal Circulating Cytokine Level MP:0010210	1	0	0.1641021966495743	0.0023818121959682	185.6987673947897	NFIL3;PDIA6								
Decreased Vasodilation MP:0005591	1	0	0.1641021966495743	0.0023818121959682	185.6987673947897	IRS2;BMAL1								
Increased Bone Resorption MP:0004992	1	0	0.1641021966495743	0.0027192556482504	169.08226656127547	BMAL1;FOSL2								
Decreased Circulating Progesterone Level MP:0005185	1	0	0.1641021966495743	0.0028959211173454	161.69650653172428	IRS2;BMAL1								
Wavy Neural Tube MP:0000930	1	0	0.1663740892277807	0.0032650074009337	148.46413612460563	XBP1;MTHFD1L								
Abnormal Cell Physiology MP:0005621	1	0	0.1663740892277807	0.004076213034781	36.66467393290241	SNAPIN;HSPH1;CALR;SCAMP1								
Abnormal Cornea Morphology MP:0001312	1	0	0.1663740892277807	0.0042087165784917	54.50342845051205	NFIL3;NAB2;BMAL1								
Cornea Vascularization MP:0005542	1	0	0.1663740892277807	0.0051806911627924	106.48111760263689	NFIL3;BMAL1								
Decreased Follicular B Cell Number MP:0008174	1	0	0.1663740892277807	0.0061625935135597	93.79784429037068	PDIA6;BMAL1								
Increased Total Body Fat Amount MP:0010024	1	0	0.1663740892277807	0.0116079555814849	21.76238246608389	MINAR2;IRS2;DNASE1L2;PDIA6								
Abnormal Head Morphology MP:0000432	1	0	0.1663740892277807	0.0118650634107129	57.4073222604629	MTHFD1L;DNASE1L2								
Vertebral Fusion MP:0004609	1	0	0.1663740892277807	0.0118650634107129	57.4073222604629	XBP1;DNASE1L2								
Abnormal Glucose Homeostasis MP:0002078	1	0	0.1663740892277807	0.0120928119559138	29.623837767279053	TREM2;IRS2;BMAL1								
Increased Susceptibility To Endotoxin Shock MP:0008735	1	0	0.1663740892277807	0.0125608922452035	54.94671101969335	TREML1;TREM2								
Increased Circulating HDL Cholesterol Level MP:0001556	1	0	0.1663740892277807	0.0131374760042191	28.16033653598916	HSPA5;IRS2;BMAL1								
Increased Circulating Tumor Necrosis Factor Level MP:0008553	1	0	0.1663740892277807	0.0143765335552059	49.48935398933624	NFIL3;TREM2								
Ectopic Bone MP:0014167	1	0	0.1663740892277807	0.0149082847993736	342.3895623444841	BMAL1								
Abnormal Circadian Regulation Of Heart Rate MP:0011021	1	0	0.1663740892277807	0.0149082847993736	342.3895623444841	BMAL1								
Decreased Circulating Noradrenaline Level MP:0005664	1	0	0.1663740892277807	0.0149082847993736	342.3895623444841	BMAL1								
Decreased Common Lymphocyte Progenitor Cell Number MP:0013893	1	0	0.1663740892277807	0.0149082847993736	342.3895623444841	PDIA6								
Increased Circulating Osteocalcin Level MP:0030984	1	0	0.1663740892277807	0.0149082847993736	342.3895623444841	BMAL1								
Decreased Leukocyte Cell Number MP:0000221	1	0	0.1663740892277807	0.0169842657929789	23.99088324962961	XBP1;BMAL1;PDIA6								
Increased Susceptibility To Diet-Induced Hepatic Steatosis MP:0031269	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	BMAL1								
Calcified Joint MP:0003200	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	BMAL1								
Abnormal Plasma Cell Morphology MP:0002439	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	NFIL3								
Decreased T-helper 17 Cell Number MP:0010220	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	ZRANB1								
Impaired Gluconeogenesis MP:0030973	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	BMAL1								
Abnormal Costal Cartilage Morphology MP:0006432	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	BMAL1								
Decreased Microglial Cell Activation MP:0020449	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	TREM2								
Increased Skeletal Muscle Triglyceride Level MP:0031415	1	0	0.1663740892277807	0.0173717414502839	274.9362107684438	BMAL1								
Pallor MP:0003717	1	0	0.1663740892277807	0.0186815987482381	22.5766838560242	XBP1;HSPA5;P4HA1								
Abnormal Vertebral Arch Morphology MP:0004599	1	0	0.1663740892277807	0.0195880530452788	38.754815869716495	TRIM9;FOSL2								
Decreased CD4-positive NK T Cell Number MP:0013519	1	0	0.1663740892277807	0.0198291614511851	227.9549801512961	PDIA6								
Increased Macrophage Apoptosis MP:0011080	1	0	0.1663740892277807	0.0198291614511851	227.9549801512961	TREM2								
Abnormal Knee Joint Morphology MP:0030837	1	0	0.1663740892277807	0.0198291614511851	227.9549801512961	BMAL1								
Thin Ventricular Wall MP:0000280	1	0	0.1663740892277807	0.0217736102157896	35.5848177883064	XBP1;CALR								
Abnormal NMDA-mediated Synaptic Currents MP:0002888	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	GRIN2C								
Abnormal Mandibular Prominence Morphology MP:0010939	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	MTHFD1L								
Abnormal Alveolar Lamellar Body Morphology MP:0010813	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	HSPA5								
Arrhythmic Circadian Behavior Persistence MP:0020472	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	BMAL1								
Fragmentation Of Sleep/Wake States MP:0009436	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	BMAL1								
Decreased Areal Bone Mineral Density MP:0013618	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	ZBTB40								
Decreased Circulating Adrenaline Level MP:0005661	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	BMAL1								
Decreased Granulosa Cell Proliferation MP:0031018	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	IRS2								
Abnormal Limb Mesenchyme Morphology MP:0011261	1	0	0.1663740892277807	0.0222805591236868	193.52086993316271	P4HA1								
Hyperglycemia MP:0001559	1	0	0.1663740892277807	0.0231314233527167	33.87518721331595	IRS2;BMAL1								
Decreased Fibroblast Proliferation MP:0011704	1	0	0.1663740892277807	0.024523395696302	32.29161197321332	RBM3;CIRBP								
Decreased Alkaline Phosphatase Activity MP:0011585	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	ZBTB40								
Polyovular Ovarian Follicle MP:0009433	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	IRS2								
Abnormal Cortical Intermediate Zone Morphology MP:0008457	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	HSPA5								
Priapism MP:0003415	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	BMAL1								
Retarded Hair Growth MP:0000424	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	BMAL1								
Increased Cardiac Muscle Glycogen Level MP:0014071	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	CALR								
Abnormal Extraembryonic Tissue Physiology MP:0004264	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	XBP1								
Decreased Gonadotroph Cell Number MP:0008335	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	IRS2								
Decreased Muscle Weight MP:0004232	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	BMAL1								
Increased Macrophage Cytokine Production MP:0011078	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	NFIL3								
Vascular Smooth Muscle Hyperplasia MP:0005489	1	0	0.1663740892277807	0.024725948817258	167.3010120823387	BMAL1								
Increased Circulating Free Fatty Acids Level MP:0001554	1	0	0.1663740892277807	0.0254700751762328	31.299610767204847	IRS2;BMAL1								
Decreased Spleen Weight MP:0004953	1	0	0.1663740892277807	0.025948961945953	30.82144266223132	TRIM9;BMAL1								
Decreased Body Size MP:0001265	1	0	0.1663740892277807	0.0260715869521752	10.393199862435685	SRRM3;ZRANB1;HSPA5;BMAL1;PDIA6;FOSL2								
Increased Tumor Necrosis Factor Secretion MP:0008560	1	0	0.1663740892277807	0.0269177264019109	29.898816321570965	TREML1;NFIL3								
Abnormal Maxillary Prominence Morphology MP:0010940	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	MTHFD1L								
Abnormal Chondrocyte Differentiation MP:0014105	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	FOSL2								
Abnormal Circadian Sleep/Wake Cycle MP:0020478	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	BMAL1								
Impaired Basement Membrane Formation MP:0003044	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	P4HA1								
Increased T-helper 17 Cell Number MP:0010219	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	NFIL3								
Small Prostate Gland MP:0002774	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	TRIM9								
Decreased Myocardial Fiber Number MP:0004567	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	CALR								
Decreased Surfactant Secretion MP:0010993	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	HSPA5								
Delayed Circadian Behavior Phase MP:0020475	1	0	0.1663740892277807	0.0271653448579923	146.73452100035948	BMAL1								
Decreased Lymphocyte Cell Number MP:0005016	1	0	0.1663740892277807	0.0271834437181377	17.632957208337984	XBP1;BMAL1;PDIA6								
Abnormal Gait MP:0001406	1	0	0.1663740892277807	0.027691628165538	13.332889121373428	MINAR2;NAB2;BMAL1;PDIA6								
Thrombocytosis MP:0005505	1	0	0.1663740892277807	0.0294027974439489	27.772490481823706	ZRANB1;BMAL1								
Abnormal Mating Frequency MP:0001377	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	IRS2								
Loss Of Dopaminergic Neurons MP:0003244	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	MINAR2								
Skin Hemorrhage MP:0011514	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	TREML1								
Increased Circulating Interleukin-12B Level MP:0008647	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	NFIL3								
Decreased Mammary Gland Epithelial Cell Proliferation MP:0010174	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	SPRN								
Increased Interleukin-12B Secretion MP:0008669	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	NFIL3								
Thoracic Vertebral Fusion MP:0004623	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	BMAL1								
Increased Partial Thromboplastin Time MP:0012359	1	0	0.1663740892277807	0.029598761568907	130.2147194065139	BMAL1								
Abnormal Mammary Gland Physiology MP:0001881	1	0	0.1663740892277807	0.032026213248763	116.6847899929619	SPRN								
Abnormal NK Cell Differentiation MP:0008053	1	0	0.1663740892277807	0.032026213248763	116.6847899929619	NFIL3								
