comparison_type	method1	method2	chi2	p_value	significant	contingency_shape	p_corrected	significant_corrected
method_vs_method	gmm	spectral_spectral_genes1000	1169.7875626217565	4.7602412587097584e-231	True	(6, 6)	5.71228951045171e-229	True
method_vs_method	gmm	spectral_spectral_genes100	1022.3955280447632	1.028117308698927e-199	True	(6, 6)	1.2337407704387123e-197	True
method_vs_method	gmm	spectral_spectral_genes10	647.8895642340099	1.1545379255620765e-120	True	(6, 6)	1.3854455106744917e-118	True
method_vs_method	kmeans	spectral	993.1045873516462	1.688915171317829e-193	True	(6, 6)	2.026698205581395e-191	True
method_vs_method	kmeans	gmm_gmm_genes10000	1441.6760559812408	4.7852687535769955e-289	True	(6, 6)	5.742322504292395e-287	True
method_vs_method	kmeans	gmm_gmm_genes1000	1232.6797469719825	1.9136808571111653e-244	True	(6, 6)	2.2964170285333984e-242	True
method_vs_method	kmeans	gmm_gmm_genes100	717.5163401935183	2.8275578672213844e-135	True	(6, 6)	3.3930694406656613e-133	True
method_vs_method	kmeans	gmm_gmm_genes10	625.7299350356028	5.02413854845058e-116	True	(6, 6)	6.0289662581406955e-114	True
method_vs_method	kmeans	kmeans_kmeans_genes10000	2415.0	0.0	True	(6, 6)	0.0	True
method_vs_method	kmeans	kmeans_kmeans_genes1000	1618.0847687748874	0.0	True	(6, 6)	0.0	True
method_vs_method	kmeans	kmeans_kmeans_genes100	641.1507758905354	2.976220381349264e-119	True	(6, 6)	3.571464457619117e-117	True
method_vs_method	kmeans	kmeans_kmeans_genes10	630.3520299570641	5.420287732104189e-117	True	(6, 6)	6.504345278525027e-115	True
method_vs_method	kmeans	spectral_spectral_genes10000	993.1045873516462	1.688915171317829e-193	True	(6, 6)	2.026698205581395e-191	True
method_vs_method	kmeans	spectral_spectral_genes1000	1112.2857333830834	8.178979984779007e-219	True	(6, 6)	9.814775981734808e-217	True
method_vs_method	kmeans	spectral_spectral_genes100	797.7111607564617	3.673259416738015e-152	True	(6, 6)	4.407911300085618e-150	True
method_vs_method	kmeans	spectral_spectral_genes10	680.6236776671277	1.5837710243322566e-127	True	(6, 6)	1.9005252291987078e-125	True
method_vs_method	spectral	gmm_gmm_genes10000	1041.0977212686305	1.0996857718949324e-203	True	(6, 6)	1.319622926273919e-201	True
method_vs_method	spectral	gmm_gmm_genes1000	1051.814204785114	5.824529985591743e-206	True	(6, 6)	6.989435982710092e-204	True
method_vs_method	spectral	gmm_gmm_genes100	507.0698088452207	2.639220899827154e-91	True	(6, 6)	3.167065079792585e-89	True
method_vs_method	spectral	gmm_gmm_genes10	549.1576094332867	4.774156963399232e-100	True	(6, 6)	5.728988356079079e-98	True
method_vs_method	spectral	kmeans_kmeans_genes10000	993.1045873516462	1.688915171317829e-193	True	(6, 6)	2.026698205581395e-191	True
method_vs_method	spectral	kmeans_kmeans_genes1000	1042.1866441772993	6.456882386306862e-204	True	(6, 6)	7.7482588635682345e-202	True
method_vs_method	spectral	kmeans_kmeans_genes100	548.4695081242435	6.638617909229502e-100	True	(6, 6)	7.966341491075402e-98	True
method_vs_method	spectral	kmeans_kmeans_genes10	493.5761083455587	1.649865371340746e-88	True	(6, 6)	1.979838445608895e-86	True
method_vs_method	spectral	spectral_spectral_genes10000	2415.0	0.0	True	(6, 6)	0.0	True
method_vs_method	spectral	spectral_spectral_genes1000	1210.0360362225197	1.2777484309274107e-239	True	(6, 6)	1.5332981171128927e-237	True
method_vs_method	spectral	spectral_spectral_genes100	494.87489517819705	8.881579088629568e-89	True	(6, 6)	1.0657894906355482e-86	True
method_vs_method	spectral	spectral_spectral_genes10	526.9817640769564	1.946467764323092e-95	True	(6, 6)	2.3357613171877104e-93	True
method_vs_method	gmm_gmm_genes10000	gmm_gmm_genes1000	1723.8701967133256	0.0	True	(6, 6)	0.0	True
method_vs_method	gmm_gmm_genes10000	gmm_gmm_genes100	554.0861950118524	4.49908444655872e-101	True	(6, 6)	5.3989013358704634e-99	True
method_vs_method	gmm_gmm_genes10000	gmm_gmm_genes10	690.0427018033345	1.6703742919272744e-129	True	(6, 6)	2.0044491503127293e-127	True
method_vs_method	gmm_gmm_genes10000	kmeans_kmeans_genes10000	1441.6760559812403	4.78526875357754e-289	True	(6, 6)	5.742322504293048e-287	True
method_vs_method	gmm_gmm_genes10000	kmeans_kmeans_genes1000	1875.8233846153844	0.0	True	(6, 6)	0.0	True
method_vs_method	gmm_gmm_genes10000	kmeans_kmeans_genes100	602.4556532705783	3.684110726651182e-111	True	(6, 6)	4.420932871981418e-109	True
method_vs_method	gmm_gmm_genes10000	kmeans_kmeans_genes10	663.4756749091132	6.255767411970954e-124	True	(6, 6)	7.506920894365144e-122	True
method_vs_method	gmm_gmm_genes10000	spectral_spectral_genes10000	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)	1.3196229262740694e-201	True
method_vs_method	gmm_gmm_genes10000	spectral_spectral_genes1000	1169.7875626217565	4.7602412587097584e-231	True	(6, 6)	5.71228951045171e-229	True
method_vs_method	gmm_gmm_genes10000	spectral_spectral_genes100	1022.3955280447632	1.028117308698927e-199	True	(6, 6)	1.2337407704387123e-197	True
method_vs_method	gmm_gmm_genes10000	spectral_spectral_genes10	647.8895642340099	1.1545379255620765e-120	True	(6, 6)	1.3854455106744917e-118	True
method_vs_method	gmm_gmm_genes1000	gmm_gmm_genes100	672.1904112379452	9.308352571640288e-126	True	(6, 6)	1.1170023085968347e-123	True
method_vs_method	gmm_gmm_genes1000	gmm_gmm_genes10	672.6682481870154	7.39009573241182e-126	True	(6, 6)	8.868114878894184e-124	True
method_vs_method	gmm_gmm_genes1000	kmeans_kmeans_genes10000	1232.6797469719827	1.9136808571109474e-244	True	(6, 6)	2.296417028533137e-242	True
method_vs_method	gmm_gmm_genes1000	kmeans_kmeans_genes1000	1391.4000738461539	2.6313023743856086e-278	True	(6, 6)	3.15756284926273e-276	True
method_vs_method	gmm_gmm_genes1000	kmeans_kmeans_genes100	661.5662053303568	1.572414010444314e-123	True	(6, 6)	1.8868968125331767e-121	True
method_vs_method	gmm_gmm_genes1000	kmeans_kmeans_genes10	648.1515815142977	1.017477605244935e-120	True	(6, 6)	1.220973126293922e-118	True
method_vs_method	gmm_gmm_genes1000	spectral_spectral_genes10000	1051.8142047851143	5.824529985591082e-206	True	(6, 6)	6.989435982709298e-204	True
method_vs_method	gmm_gmm_genes1000	spectral_spectral_genes1000	1135.6069494032618	8.95381479402989e-224	True	(6, 6)	1.0744577752835868e-221	True
method_vs_method	gmm_gmm_genes1000	spectral_spectral_genes100	696.9212837593637	6.005388169719072e-131	True	(6, 6)	7.206465803662887e-129	True
method_vs_method	gmm_gmm_genes1000	spectral_spectral_genes10	656.3837391536953	1.9176512533017042e-122	True	(6, 6)	2.3011815039620452e-120	True
method_vs_method	gmm_gmm_genes100	gmm_gmm_genes10	553.1247724424686	7.132689290407651e-101	True	(6, 6)	8.559227148489182e-99	True
method_vs_method	gmm_gmm_genes100	kmeans_kmeans_genes10000	717.5163401935183	2.8275578672213844e-135	True	(6, 6)	3.3930694406656613e-133	True
method_vs_method	gmm_gmm_genes100	kmeans_kmeans_genes1000	646.4594103541418	2.3012324589602295e-120	True	(6, 6)	2.7614789507522754e-118	True
method_vs_method	gmm_gmm_genes100	kmeans_kmeans_genes100	1477.3227970989224	1.1511560037849615e-296	True	(6, 6)	1.3813872045419539e-294	True
method_vs_method	gmm_gmm_genes100	kmeans_kmeans_genes10	594.0663189639151	2.0809347784996755e-109	True	(6, 6)	2.4971217341996105e-107	True
method_vs_method	gmm_gmm_genes100	spectral_spectral_genes10000	507.06980884522073	2.6392208998270793e-91	True	(6, 6)	3.167065079792495e-89	True
method_vs_method	gmm_gmm_genes100	spectral_spectral_genes1000	458.7313122940979	2.629355697609165e-81	True	(6, 6)	3.155226837130998e-79	True
method_vs_method	gmm_gmm_genes100	spectral_spectral_genes100	1103.3807222836515	6.4021414032176445e-217	True	(6, 6)	7.682569683861173e-215	True
method_vs_method	gmm_gmm_genes100	spectral_spectral_genes10	614.9587161256513	8.986059369789922e-114	True	(6, 6)	1.0783271243747906e-111	True
method_vs_method	gmm_gmm_genes10	kmeans_kmeans_genes10000	625.7299350356027	5.0241385484508656e-116	True	(6, 6)	6.028966258141039e-114	True
method_vs_method	gmm_gmm_genes10	kmeans_kmeans_genes1000	676.5055304217991	1.158025240884091e-126	True	(6, 6)	1.389630289060909e-124	True
method_vs_method	gmm_gmm_genes10	kmeans_kmeans_genes100	567.4142888277298	7.537736581977395e-104	True	(6, 6)	9.045283898372874e-102	True
method_vs_method	gmm_gmm_genes10	kmeans_kmeans_genes10	1809.5813270169565	0.0	True	(6, 6)	0.0	True
method_vs_method	gmm_gmm_genes10	spectral_spectral_genes10000	549.1576094332866	4.774156963399504e-100	True	(6, 6)	5.728988356079405e-98	True
method_vs_method	gmm_gmm_genes10	spectral_spectral_genes1000	614.2700380263022	1.251804150751052e-113	True	(6, 6)	1.5021649809012623e-111	True
method_vs_method	gmm_gmm_genes10	spectral_spectral_genes100	589.3905319387845	1.9690878158977775e-108	True	(6, 6)	2.362905379077333e-106	True
method_vs_method	gmm_gmm_genes10	spectral_spectral_genes10	1308.3471076001122	1.4059550483265831e-260	True	(6, 6)	1.6871460579918997e-258	True
method_vs_method	kmeans_kmeans_genes10000	kmeans_kmeans_genes1000	1618.0847687748874	0.0	True	(6, 6)	0.0	True
method_vs_method	kmeans_kmeans_genes10000	kmeans_kmeans_genes100	641.1507758905354	2.976220381349264e-119	True	(6, 6)	3.571464457619117e-117	True
method_vs_method	kmeans_kmeans_genes10000	kmeans_kmeans_genes10	630.3520299570641	5.420287732104189e-117	True	(6, 6)	6.504345278525027e-115	True
method_vs_method	kmeans_kmeans_genes10000	spectral_spectral_genes10000	993.1045873516462	1.688915171317829e-193	True	(6, 6)	2.026698205581395e-191	True
method_vs_method	kmeans_kmeans_genes10000	spectral_spectral_genes1000	1112.2857333830834	8.178979984779007e-219	True	(6, 6)	9.814775981734808e-217	True
method_vs_method	kmeans_kmeans_genes10000	spectral_spectral_genes100	797.7111607564617	3.673259416738015e-152	True	(6, 6)	4.407911300085618e-150	True
method_vs_method	kmeans_kmeans_genes10000	spectral_spectral_genes10	680.6236776671277	1.5837710243322566e-127	True	(6, 6)	1.9005252291987078e-125	True
method_vs_method	kmeans_kmeans_genes1000	kmeans_kmeans_genes100	694.0082541311285	2.4560641663150137e-130	True	(6, 6)	2.947276999578016e-128	True
method_vs_method	kmeans_kmeans_genes1000	kmeans_kmeans_genes10	677.9238479811675	5.836633850447669e-127	True	(6, 6)	7.003960620537203e-125	True
method_vs_method	kmeans_kmeans_genes1000	spectral_spectral_genes10000	1042.1866441772993	6.456882386306862e-204	True	(6, 6)	7.7482588635682345e-202	True
method_vs_method	kmeans_kmeans_genes1000	spectral_spectral_genes1000	1225.8465884637646	5.469584310972539e-243	True	(6, 6)	6.563501173167047e-241	True
method_vs_method	kmeans_kmeans_genes1000	spectral_spectral_genes100	1079.127276418461	9.164206542574369e-212	True	(6, 6)	1.0997047851089242e-209	True
method_vs_method	kmeans_kmeans_genes1000	spectral_spectral_genes10	638.1073639004055	1.2907626394301623e-118	True	(6, 6)	1.5489151673161947e-116	True
method_vs_method	kmeans_kmeans_genes100	kmeans_kmeans_genes10	992.5998293501882	2.1611293066996098e-193	True	(6, 6)	2.5933551680395317e-191	True
method_vs_method	kmeans_kmeans_genes100	spectral_spectral_genes10000	548.4695081242435	6.638617909229502e-100	True	(6, 6)	7.966341491075402e-98	True
method_vs_method	kmeans_kmeans_genes100	spectral_spectral_genes1000	453.0223610139054	3.956152207143486e-80	True	(6, 6)	4.747382648572183e-78	True
method_vs_method	kmeans_kmeans_genes100	spectral_spectral_genes100	1546.8981613860328	1.5225464159083e-311	True	(6, 6)	1.827055699089903e-309	True
method_vs_method	kmeans_kmeans_genes100	spectral_spectral_genes10	538.1778295907587	9.175741622626226e-98	True	(6, 6)	1.101088994715147e-95	True
method_vs_method	kmeans_kmeans_genes10	spectral_spectral_genes10000	493.5761083455587	1.649865371340746e-88	True	(6, 6)	1.979838445608895e-86	True
method_vs_method	kmeans_kmeans_genes10	spectral_spectral_genes1000	530.5747202035934	3.490195262881735e-96	True	(6, 6)	4.188234315458082e-94	True
method_vs_method	kmeans_kmeans_genes10	spectral_spectral_genes100	1004.4562417872805	6.59592822812357e-196	True	(6, 6)	7.915113873748284e-194	True
method_vs_method	kmeans_kmeans_genes10	spectral_spectral_genes10	1438.6780135614101	2.091898923741825e-288	True	(6, 6)	2.51027870849019e-286	True
method_vs_method	spectral_spectral_genes10000	spectral_spectral_genes1000	1210.0360362225197	1.2777484309274107e-239	True	(6, 6)	1.5332981171128927e-237	True
method_vs_method	spectral_spectral_genes10000	spectral_spectral_genes100	494.87489517819705	8.881579088629568e-89	True	(6, 6)	1.0657894906355482e-86	True
method_vs_method	spectral_spectral_genes10000	spectral_spectral_genes10	526.9817640769564	1.946467764323092e-95	True	(6, 6)	2.3357613171877104e-93	True
method_vs_method	spectral_spectral_genes1000	spectral_spectral_genes100	462.08016746303116	5.355721673377787e-82	True	(6, 6)	6.426866008053344e-80	True
method_vs_method	spectral_spectral_genes1000	spectral_spectral_genes10	746.9626405190794	1.8094091373603436e-141	True	(6, 6)	2.1712909648324123e-139	True
method_vs_method	spectral_spectral_genes100	spectral_spectral_genes10	552.6547325975953	8.934928449294288e-101	True	(6, 6)	1.0721914139153145e-98	True
